TRAIN DEVICE,TEST DEVICE,BOTNET,CLASSIFIER,ACCURACY,PRECISION,RECALL,F1-SCORE,FALSE-P,FALSE-N
Danmini_Doorbell,Danmini_Doorbell,gafgyt,KNN,0.999,0.9973,0.9985,0.9979,113,246
Danmini_Doorbell,Ecobee_Thermostat,gafgyt,KNN,0.9987,0.9907,0.9924,0.9915,189,238
Danmini_Doorbell,Ennio_Doorbell,gafgyt,KNN,0.9962,0.9952,0.9851,0.9901,1137,228
Danmini_Doorbell,B120N10_Baby_Mon,gafgyt,KNN,0.9797,0.9827,0.9734,0.9777,8582,1321
Danmini_Doorbell,737E_Security_Cam,gafgyt,KNN,0.9898,0.9786,0.9836,0.9811,1586,2396
Danmini_Doorbell,838_Security_Cam,gafgyt,KNN,0.9939,0.9951,0.9882,0.9916,2258,236
Danmini_Doorbell,Samsung_Webcam,gafgyt,KNN,0.993,0.994,0.9768,0.9852,2378,234
Danmini_Doorbell,1002_Security_Cam,gafgyt,KNN,0.9895,0.9916,0.9628,0.9766,3425,240
Danmini_Doorbell,1003_Security_Cam,gafgyt,KNN,0.9936,0.96,0.9835,0.9714,544,1614
Ecobee_Thermostat,Danmini_Doorbell,gafgyt,KNN,0.9965,0.9974,0.9875,0.9924,1229,65
Ecobee_Thermostat,Ecobee_Thermostat,gafgyt,KNN,0.9991,0.9973,0.9912,0.9943,227,60
Ecobee_Thermostat,Ennio_Doorbell,gafgyt,KNN,0.9948,0.9964,0.9769,0.9864,1796,60
Ecobee_Thermostat,B120N10_Baby_Mon,gafgyt,KNN,0.9749,0.9791,0.9667,0.9724,10945,1289
Ecobee_Thermostat,737E_Security_Cam,gafgyt,KNN,0.9886,0.9779,0.9795,0.9787,2103,2365
Ecobee_Thermostat,838_Security_Cam,gafgyt,KNN,0.9918,0.994,0.9837,0.9887,3165,168
Ecobee_Thermostat,Samsung_Webcam,gafgyt,KNN,0.9909,0.9942,0.9676,0.9804,3371,58
Ecobee_Thermostat,1002_Security_Cam,gafgyt,KNN,0.9885,0.9928,0.9572,0.9741,3981,59
Ecobee_Thermostat,1003_Security_Cam,gafgyt,KNN,0.9926,0.9591,0.9746,0.9667,893,1600
Ennio_Doorbell,Danmini_Doorbell,gafgyt,KNN,0.9907,0.9717,0.99,0.9806,550,2847
Ennio_Doorbell,Ecobee_Thermostat,gafgyt,KNN,0.9961,0.9608,0.9921,0.9759,160,1095
Ennio_Doorbell,Ennio_Doorbell,gafgyt,KNN,0.9989,0.9965,0.998,0.9972,123,262
Ennio_Doorbell,B120N10_Baby_Mon,gafgyt,KNN,0.9777,0.9772,0.9743,0.9757,6616,4255
Ennio_Doorbell,737E_Security_Cam,gafgyt,KNN,0.9827,0.9574,0.9803,0.9684,1445,5333
Ennio_Doorbell,838_Security_Cam,gafgyt,KNN,0.9877,0.9813,0.9852,0.9832,1924,3108
Ennio_Doorbell,Samsung_Webcam,gafgyt,KNN,0.9881,0.9731,0.9772,0.9752,1967,2515
Ennio_Doorbell,1002_Security_Cam,gafgyt,KNN,0.9856,0.9713,0.9658,0.9686,2844,2205
Ennio_Doorbell,1003_Security_Cam,gafgyt,KNN,0.9851,0.9032,0.9804,0.9378,488,4527
B120N10_Baby_Mon,Danmini_Doorbell,gafgyt,KNN,0.9936,0.978,0.9954,0.9865,98,2263
B120N10_Baby_Mon,Ecobee_Thermostat,gafgyt,KNN,0.9965,0.9616,0.9961,0.9781,57,1084
B120N10_Baby_Mon,Ennio_Doorbell,gafgyt,KNN,0.9977,0.991,0.9973,0.9942,123,695
B120N10_Baby_Mon,B120N10_Baby_Mon,gafgyt,KNN,0.9984,0.9978,0.9987,0.9983,55,727
B120N10_Baby_Mon,737E_Security_Cam,gafgyt,KNN,0.992,0.9775,0.9933,0.9852,299,2847
B120N10_Baby_Mon,838_Security_Cam,gafgyt,KNN,0.9968,0.9954,0.9959,0.9957,577,721
B120N10_Baby_Mon,Samsung_Webcam,gafgyt,KNN,0.9974,0.9929,0.9964,0.9946,262,703
B120N10_Baby_Mon,1002_Security_Cam,gafgyt,KNN,0.9969,0.9917,0.9949,0.9933,366,720
B120N10_Baby_Mon,1003_Security_Cam,gafgyt,KNN,0.9971,0.9788,0.995,0.9868,143,848
737E_Security_Cam,Danmini_Doorbell,gafgyt,KNN,0.9974,0.9947,0.9943,0.9945,491,452
737E_Security_Cam,Ecobee_Thermostat,gafgyt,KNN,0.9983,0.9839,0.9949,0.9893,115,428
737E_Security_Cam,Ennio_Doorbell,gafgyt,KNN,0.9968,0.9934,0.9903,0.9918,707,426
737E_Security_Cam,B120N10_Baby_Mon,gafgyt,KNN,0.9885,0.9906,0.9846,0.9875,5152,438
737E_Security_Cam,737E_Security_Cam,gafgyt,KNN,0.9986,0.9962,0.9984,0.9973,115,452
737E_Security_Cam,838_Security_Cam,gafgyt,KNN,0.9953,0.9953,0.9917,0.9935,1492,438
737E_Security_Cam,Samsung_Webcam,gafgyt,KNN,0.9949,0.9935,0.9852,0.9893,1474,427
737E_Security_Cam,1002_Security_Cam,gafgyt,KNN,0.9903,0.9902,0.9674,0.9784,2973,431
737E_Security_Cam,1003_Security_Cam,gafgyt,KNN,0.9976,0.9884,0.99,0.9892,363,431
838_Security_Cam,Danmini_Doorbell,gafgyt,KNN,0.9974,0.9924,0.9967,0.9946,215,722
838_Security_Cam,Ecobee_Thermostat,gafgyt,KNN,0.9979,0.9774,0.9965,0.9868,65,615
838_Security_Cam,Ennio_Doorbell,gafgyt,KNN,0.997,0.9916,0.993,0.9923,470,599
838_Security_Cam,B120N10_Baby_Mon,gafgyt,KNN,0.9907,0.9907,0.989,0.9899,2966,1577
838_Security_Cam,737E_Security_Cam,gafgyt,KNN,0.9912,0.9759,0.992,0.9837,429,3036
838_Security_Cam,838_Security_Cam,gafgyt,KNN,0.9979,0.9965,0.9978,0.9971,246,613
838_Security_Cam,Samsung_Webcam,gafgyt,KNN,0.9966,0.9931,0.9925,0.9928,683,608
838_Security_Cam,1002_Security_Cam,gafgyt,KNN,0.9945,0.9911,0.985,0.988,1299,624
838_Security_Cam,1003_Security_Cam,gafgyt,KNN,0.994,0.9561,0.9923,0.9734,186,1846
Samsung_Webcam,Danmini_Doorbell,gafgyt,KNN,0.9977,0.9929,0.9972,0.995,172,683
Samsung_Webcam,Ecobee_Thermostat,gafgyt,KNN,0.9978,0.9758,0.9973,0.9863,43,662
Samsung_Webcam,Ennio_Doorbell,gafgyt,KNN,0.9977,0.9918,0.9968,0.9943,176,628
Samsung_Webcam,B120N10_Baby_Mon,gafgyt,KNN,0.9916,0.9909,0.9909,0.9909,2029,2048
Samsung_Webcam,737E_Security_Cam,gafgyt,KNN,0.9899,0.974,0.9892,0.9814,732,3222
Samsung_Webcam,838_Security_Cam,gafgyt,KNN,0.9958,0.9941,0.9944,0.9942,805,915
Samsung_Webcam,Samsung_Webcam,gafgyt,KNN,0.998,0.9937,0.9977,0.9957,132,637
Samsung_Webcam,1002_Security_Cam,gafgyt,KNN,0.9918,0.9891,0.9754,0.9821,2193,661
Samsung_Webcam,1003_Security_Cam,gafgyt,KNN,0.9926,0.9465,0.9921,0.968,168,2305
1002_Security_Cam,Danmini_Doorbell,gafgyt,KNN,0.9947,0.9843,0.9935,0.9888,407,1525
1002_Security_Cam,Ecobee_Thermostat,gafgyt,KNN,0.998,0.9806,0.9946,0.9875,121,518
1002_Security_Cam,Ennio_Doorbell,gafgyt,KNN,0.9967,0.9936,0.9895,0.9915,771,405
1002_Security_Cam,B120N10_Baby_Mon,gafgyt,KNN,0.9849,0.9858,0.9814,0.9836,5429,1919
1002_Security_Cam,737E_Security_Cam,gafgyt,KNN,0.9869,0.968,0.9843,0.9759,1210,3913
1002_Security_Cam,838_Security_Cam,gafgyt,KNN,0.9939,0.9932,0.9901,0.9916,1710,785
1002_Security_Cam,Samsung_Webcam,gafgyt,KNN,0.9948,0.9936,0.9847,0.9891,1531,415
1002_Security_Cam,1002_Security_Cam,gafgyt,KNN,0.9985,0.9954,0.9981,0.9968,110,412
1002_Security_Cam,1003_Security_Cam,gafgyt,KNN,0.9927,0.9483,0.9898,0.968,262,2202
1003_Security_Cam,Danmini_Doorbell,gafgyt,KNN,0.9972,0.9951,0.9927,0.9939,660,379
1003_Security_Cam,Ecobee_Thermostat,gafgyt,KNN,0.9986,0.9892,0.9926,0.9909,183,278
1003_Security_Cam,Ennio_Doorbell,gafgyt,KNN,0.9959,0.9948,0.9843,0.9895,1199,253
1003_Security_Cam,B120N10_Baby_Mon,gafgyt,KNN,0.9834,0.987,0.9772,0.9818,7820,279
1003_Security_Cam,737E_Security_Cam,gafgyt,KNN,0.9938,0.9903,0.9865,0.9884,1501,912
1003_Security_Cam,838_Security_Cam,gafgyt,KNN,0.9942,0.9952,0.9888,0.992,2113,270
1003_Security_Cam,Samsung_Webcam,gafgyt,KNN,0.9935,0.9941,0.9787,0.9862,2175,257
1003_Security_Cam,1002_Security_Cam,gafgyt,KNN,0.9908,0.9921,0.9681,0.9796,2932,277
1003_Security_Cam,1003_Security_Cam,gafgyt,KNN,0.9991,0.994,0.9982,0.9961,55,232
Danmini_Doorbell,Danmini_Doorbell,mirai,KNN,0.9992,0.9965,0.9976,0.997,212,333
Danmini_Doorbell,Ecobee_Thermostat,mirai,KNN,0.9953,0.9263,0.9869,0.9545,287,2207
Danmini_Doorbell,B120N10_Baby_Mon,mirai,KNN,0.9886,0.992,0.975,0.9832,8673,317
Danmini_Doorbell,737E_Security_Cam,mirai,KNN,0.9242,0.811,0.9437,0.8582,1887,35888
Danmini_Doorbell,838_Security_Cam,mirai,KNN,0.9303,0.8657,0.9444,0.8969,3261,33529
Danmini_Doorbell,1002_Security_Cam,mirai,KNN,0.9938,0.9854,0.9734,0.9793,2376,1113
Danmini_Doorbell,1003_Security_Cam,mirai,KNN,0.9942,0.9583,0.96,0.9591,1501,1580
Ecobee_Thermostat,Danmini_Doorbell,mirai,KNN,0.9176,0.7291,0.9432,0.7894,1341,56490
Ecobee_Thermostat,Ecobee_Thermostat,mirai,KNN,0.9994,0.9974,0.991,0.9942,234,62
Ecobee_Thermostat,B120N10_Baby_Mon,mirai,KNN,0.9241,0.8748,0.9363,0.8993,7338,52285
Ecobee_Thermostat,737E_Security_Cam,mirai,KNN,0.91,0.7896,0.9359,0.8375,1845,42995
Ecobee_Thermostat,838_Security_Cam,mirai,KNN,0.91,0.8372,0.9327,0.8713,3066,44453
Ecobee_Thermostat,1002_Security_Cam,mirai,KNN,0.9895,0.9739,0.9567,0.9651,3849,2003
Ecobee_Thermostat,1003_Security_Cam,mirai,KNN,0.9891,0.8966,0.9669,0.9286,1114,4737
B120N10_Baby_Mon,Danmini_Doorbell,mirai,KNN,0.9915,0.952,0.987,0.9687,897,5090
B120N10_Baby_Mon,Ecobee_Thermostat,mirai,KNN,0.9917,0.8781,0.9881,0.9257,205,4152
B120N10_Baby_Mon,B120N10_Baby_Mon,mirai,KNN,0.9949,0.9948,0.9906,0.9927,3044,931
B120N10_Baby_Mon,737E_Security_Cam,mirai,KNN,0.8604,0.7343,0.9128,0.7754,1076,68450
B120N10_Baby_Mon,838_Security_Cam,mirai,KNN,0.8752,0.7982,0.9158,0.8315,1911,63963
B120N10_Baby_Mon,1002_Security_Cam,mirai,KNN,0.9952,0.9799,0.9887,0.9843,885,1824
B120N10_Baby_Mon,1003_Security_Cam,mirai,KNN,0.9903,0.9093,0.9662,0.9357,1169,4005
737E_Security_Cam,Danmini_Doorbell,mirai,KNN,0.9668,0.8433,0.965,0.8927,1835,21491
