DEVICE,TRAIN-BOTNET,TEST-BOTNET,CLASSIFIER,ACCURACY,PRECISION,RECALL,F1-SCORE,FALSE-P,FALSE-N
Danmini_Doorbell,gafgyt,mirai,KNN,0.5817,0.5719,0.7739,0.4808,113,293376
Danmini_Doorbell,mirai,gafgyt,KNN,0.3731,0.5873,0.6357,0.3663,212,229368
Ecobee_Thermostat,gafgyt,mirai,KNN,0.5533,0.5256,0.7625,0.401,227,234425
Ecobee_Thermostat,mirai,gafgyt,KNN,0.3516,0.5278,0.6536,0.2998,234,209684
B120N10_Baby_Mon,gafgyt,mirai,KNN,0.5988,0.6785,0.7417,0.5892,55,315246
B120N10_Baby_Mon,mirai,gafgyt,KNN,0.5291,0.6987,0.6288,0.514,3044,226720
737E_Security_Cam,gafgyt,mirai,KNN,0.6729,0.6377,0.8124,0.6013,115,162822
737E_Security_Cam,mirai,gafgyt,KNN,0.4402,0.607,0.6634,0.4311,613,218958
838_Security_Cam,gafgyt,mirai,KNN,0.6655,0.6784,0.7934,0.634,246,176339
838_Security_Cam,mirai,gafgyt,KNN,0.4753,0.6514,0.6502,0.4753,1102,212744
1002_Security_Cam,gafgyt,mirai,KNN,0.4983,0.5708,0.7253,0.4361,110,280732
1002_Security_Cam,mirai,gafgyt,KNN,0.3926,0.5877,0.6467,0.3825,322,212156
1003_Security_Cam,gafgyt,mirai,KNN,0.4892,0.5332,0.7336,0.3821,55,272895
1003_Security_Cam,mirai,gafgyt,KNN,0.3693,0.5414,0.6623,0.3259,121,211759
Danmini_Doorbell,gafgyt,mirai,RFR,1.0,1.0,1.0,1.0,0,0
Danmini_Doorbell,mirai,gafgyt,RFR,0.4565,0.5997,0.6857,0.4371,0,199025
Ecobee_Thermostat,gafgyt,mirai,RFR,1.0,0.9992,1.0,0.9996,0,21
Ecobee_Thermostat,mirai,gafgyt,RFR,0.3827,0.5308,0.6783,0.3209,0,199858
B120N10_Baby_Mon,gafgyt,mirai,RFR,0.7702,0.7462,0.8521,0.7432,0,180646
B120N10_Baby_Mon,mirai,gafgyt,RFR,0.5809,0.7307,0.673,0.5728,0,204518
737E_Security_Cam,gafgyt,mirai,RFR,1.0,1.0,1.0,1.0,0,3
737E_Security_Cam,mirai,gafgyt,RFR,0.4678,0.6147,0.6838,0.4554,0,208763
838_Security_Cam,gafgyt,mirai,RFR,0.9939,0.9843,0.9963,0.9901,0,3204
838_Security_Cam,mirai,gafgyt,RFR,0.5173,0.6668,0.6817,0.5168,0,196723
1002_Security_Cam,gafgyt,mirai,RFR,0.9998,0.999,0.9999,0.9995,0,90
1002_Security_Cam,mirai,gafgyt,RFR,0.4466,0.597,0.6808,0.428,0,193599
1003_Security_Cam,gafgyt,mirai,RFR,0.9582,0.7332,0.9783,0.8069,0,22348
1003_Security_Cam,mirai,gafgyt,RFR,0.4015,0.5443,0.6823,0.3485,0,201077
Danmini_Doorbell,gafgyt,mirai,DTR,0.6178,0.578,0.7944,0.5055,0,268170
Danmini_Doorbell,mirai,gafgyt,DTR,0.4562,0.5996,0.6855,0.4368,0,199147
Ecobee_Thermostat,gafgyt,mirai,DTR,0.9626,0.7001,0.9808,0.776,0,19653
Ecobee_Thermostat,mirai,gafgyt,DTR,0.3817,0.5307,0.6778,0.3203,0,200162
B120N10_Baby_Mon,gafgyt,mirai,DTR,0.9519,0.9113,0.9691,0.9354,0,37797
B120N10_Baby_Mon,mirai,gafgyt,DTR,0.5833,0.7314,0.6749,0.5755,0,203352
737E_Security_Cam,gafgyt,mirai,DTR,0.8906,0.7665,0.9375,0.8143,0,54475
737E_Security_Cam,mirai,gafgyt,DTR,0.4679,0.6147,0.6839,0.4555,0,208700
838_Security_Cam,gafgyt,mirai,DTR,0.8898,0.8144,0.9322,0.8497,0,58177
838_Security_Cam,mirai,gafgyt,DTR,0.5239,0.6684,0.6861,0.5231,0,194039
1002_Security_Cam,gafgyt,mirai,DTR,0.9994,0.9966,0.9997,0.9981,0,322
1002_Security_Cam,mirai,gafgyt,DTR,0.4495,0.5974,0.6825,0.4304,0,192553
1003_Security_Cam,gafgyt,mirai,DTR,0.8256,0.5866,0.9095,0.5979,0,93199
1003_Security_Cam,mirai,gafgyt,DTR,0.3987,0.5441,0.6808,0.3466,0,202008
Danmini_Doorbell,gafgyt,mirai,ADB,1.0,1.0,1.0,1.0,0,3
Danmini_Doorbell,mirai,gafgyt,ADB,0.454,0.5993,0.6843,0.435,0,199935
Ecobee_Thermostat,gafgyt,mirai,ADB,0.9209,0.62,0.9595,0.6724,0,41527
Ecobee_Thermostat,mirai,gafgyt,ADB,0.382,0.5308,0.678,0.3205,0,200061
B120N10_Baby_Mon,gafgyt,mirai,ADB,0.7804,0.7519,0.8587,0.7527,0,172609
B120N10_Baby_Mon,mirai,gafgyt,ADB,0.5864,0.7324,0.6774,0.5791,0,201799
737E_Security_Cam,gafgyt,mirai,ADB,0.9943,0.978,0.9967,0.9871,0,2855
737E_Security_Cam,mirai,gafgyt,ADB,0.4683,0.6148,0.6841,0.4558,0,208560
