DEVICE,BOTNET,CLASSIFIER,TRAIN-SIZE-A,TEST-SIZE-B,ACCURACY,PRECISION,RECALL,F1-SCORE,FALSE-P,FALSE-N
Danmini_Doorbell,gafgyt,KNN,10,2,0.8647,0.4323,0.5,0.4637,49546,0
Danmini_Doorbell,gafgyt,RFR,10,2,0.967,0.9712,0.886,0.9227,11152,922
Danmini_Doorbell,gafgyt,DTR,10,2,0.9652,0.9631,0.8849,0.9189,11157,1585
Danmini_Doorbell,gafgyt,ADB,10,2,0.9672,0.9714,0.8867,0.9232,11082,916
Danmini_Doorbell,gafgyt,KNN,50,8,0.9935,0.9963,0.976,0.9859,2373,0
Danmini_Doorbell,gafgyt,RFR,50,8,0.9967,0.9905,0.9956,0.993,298,910
Danmini_Doorbell,gafgyt,DTR,50,8,0.991,0.9846,0.9766,0.9806,2139,1164
Danmini_Doorbell,gafgyt,ADB,50,8,0.9905,0.9845,0.9748,0.9796,2314,1148
Danmini_Doorbell,gafgyt,KNN,100,16,0.9934,0.9962,0.9756,0.9856,2413,0
Danmini_Doorbell,gafgyt,RFR,100,16,0.9988,0.9974,0.9973,0.9974,230,223
Danmini_Doorbell,gafgyt,DTR,100,16,0.9994,0.9979,0.9996,0.9988,7,206
Danmini_Doorbell,gafgyt,ADB,100,16,0.9914,0.9872,0.9757,0.9813,2270,892
Danmini_Doorbell,gafgyt,KNN,500,78,0.9934,0.9962,0.9755,0.9855,2420,0
Danmini_Doorbell,gafgyt,RFR,500,78,0.9993,0.9978,0.9994,0.9986,21,218
Danmini_Doorbell,gafgyt,DTR,500,78,0.9994,0.9979,0.9996,0.9988,7,205
Danmini_Doorbell,gafgyt,ADB,500,78,0.9994,0.9979,0.9996,0.9988,7,205
Danmini_Doorbell,gafgyt,KNN,1000,156,0.9933,0.9962,0.9755,0.9855,2417,0
Danmini_Doorbell,gafgyt,RFR,1000,156,0.9993,0.9979,0.9992,0.9985,47,205
Danmini_Doorbell,gafgyt,DTR,1000,156,0.9994,0.9979,0.9996,0.9988,7,206
Danmini_Doorbell,gafgyt,ADB,1000,156,0.9994,0.9979,0.9996,0.9988,7,206
Danmini_Doorbell,gafgyt,KNN,5000,782,0.9952,0.9921,0.9878,0.9899,1093,590
Danmini_Doorbell,gafgyt,RFR,5000,782,0.9997,0.9993,0.9995,0.9994,39,58
Danmini_Doorbell,gafgyt,DTR,5000,782,0.9995,0.999,0.9989,0.999,92,82
Danmini_Doorbell,gafgyt,ADB,5000,782,0.9996,0.9992,0.9992,0.9992,63,72
Danmini_Doorbell,gafgyt,KNN,10000,1565,0.9961,0.9929,0.9915,0.9922,726,552
Danmini_Doorbell,gafgyt,RFR,10000,1565,0.9998,0.9994,0.9999,0.9996,2,62
Danmini_Doorbell,gafgyt,DTR,10000,1565,0.9997,0.9991,0.9997,0.9994,13,85
Danmini_Doorbell,gafgyt,ADB,10000,1565,0.9995,0.9992,0.9989,0.999,100,59
Danmini_Doorbell,gafgyt,KNN,50000,7824,0.9975,0.9965,0.9953,0.9959,340,210
Danmini_Doorbell,gafgyt,RFR,50000,7824,0.9999,0.9998,0.9999,0.9998,6,18
Danmini_Doorbell,gafgyt,DTR,50000,7824,0.9998,0.9997,0.9997,0.9997,20,24
Danmini_Doorbell,gafgyt,ADB,50000,7824,1.0,1.0,0.9999,1.0,5,1
Danmini_Doorbell,gafgyt,KNN,100000,15648,0.9978,0.9977,0.9968,0.9972,188,85
Danmini_Doorbell,gafgyt,RFR,100000,15648,0.9999,0.9998,0.9999,0.9999,0,11
Danmini_Doorbell,gafgyt,DTR,100000,15648,0.9999,0.9999,0.9999,0.9999,5,7
Danmini_Doorbell,gafgyt,ADB,100000,15648,1.0,1.0,0.9999,0.9999,5,1
Danmini_Doorbell,gafgyt,KNN,200000,31295,0.9978,0.9978,0.9977,0.9978,75,9
Danmini_Doorbell,gafgyt,RFR,200000,31295,1.0,1.0,1.0,1.0,0,0
Danmini_Doorbell,gafgyt,DTR,200000,31295,0.9999,0.9999,0.9999,0.9999,4,0
Danmini_Doorbell,gafgyt,ADB,200000,31295,1.0,1.0,1.0,1.0,1,0
Danmini_Doorbell,mirai,KNN,10,1,0.9294,0.4647,0.5,0.4817,49547,0
Danmini_Doorbell,mirai,RFR,10,1,0.9458,0.9724,0.6163,0.6745,38024,0
Danmini_Doorbell,mirai,DTR,10,1,0.9844,0.9095,0.9916,0.946,0,10954
Danmini_Doorbell,mirai,ADB,10,1,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,KNN,50,4,0.9646,0.8376,0.9548,0.8854,2809,22023
Danmini_Doorbell,mirai,RFR,50,4,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,DTR,50,4,0.9999,0.9993,0.9999,0.9996,0,71
Danmini_Doorbell,mirai,ADB,50,4,0.9999,0.9993,0.9999,0.9996,0,71
Danmini_Doorbell,mirai,KNN,100,8,0.9958,0.9977,0.9699,0.9834,2978,0
Danmini_Doorbell,mirai,RFR,100,8,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,DTR,100,8,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,ADB,100,8,0.9963,0.975,0.998,0.9862,0,2606
Danmini_Doorbell,mirai,KNN,500,38,0.9957,0.9977,0.9697,0.9833,2996,0
Danmini_Doorbell,mirai,RFR,500,38,0.9999,0.9994,1.0,0.9997,0,56
Danmini_Doorbell,mirai,DTR,500,38,0.9998,0.9995,0.9991,0.9993,89,42
Danmini_Doorbell,mirai,ADB,500,38,0.9999,0.999,0.9999,0.9995,0,101
Danmini_Doorbell,mirai,KNN,1000,76,0.9966,0.9945,0.9794,0.9868,2005,376
Danmini_Doorbell,mirai,RFR,1000,76,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,DTR,1000,76,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,ADB,1000,76,0.9999,0.999,0.9999,0.9995,0,100
Danmini_Doorbell,mirai,KNN,5000,380,0.9969,0.9942,0.9824,0.9882,1693,428
